package	disposition	owner_requirement	consumer	verification	result_artifact
agy-lane-activation	split	Setup reports authenticated Agy readiness without inference	env/tool-check.sh; skills/foreman/scripts/foreman-setup.sh; skills/foreman/scripts/adapters/agy.sh	bats tests/tool-check-auth.bats tests/foreman-setup.bats tests/adapters.bats	openspec/changes/agy-lane-activation/V030-RESIDUAL.md
audit-groundedness-gate	split	A checker proves that it can fail before it is trusted	skills/foreman/scripts/lib/gate-ground.sh; skills/foreman/scripts/lib/gate-ground-checks.sh	bats tests/gate-ground.bats	openspec/changes/audit-groundedness-gate/V030-RESIDUAL.md
captured-facts-convergence	v029-implemented	A discovery-derived Grok specification inlines captured facts	skills/foreman/references/five-part-spec.md; skills/foreman/templates/captured-facts.md	rg -n 'MUST inline|write-first' skills/foreman/references/five-part-spec.md skills/foreman/templates/captured-facts.md	skills/foreman/references/five-part-spec.md
council-review-plane	v030-deferred	A review reads one immutable round and preserves model-family diversity	openspec/changes/council-review-plane/	test -f openspec/changes/council-review-plane/specs/council-review/spec.md	openspec/changes/council-review-plane/
crlf-extensionless-hardening	v029-implemented	Every Bash-executed tracked file is LF in the index and on autocrlf checkouts	.gitattributes; tests/line-endings.bats	bats tests/line-endings.bats	tests/line-endings.bats
cross-vendor-audit-routing	split	The cross-vendor invariant is enforced over model family	skills/foreman/scripts/lib/audit-call.sh; skills/foreman/scripts/audit-run.sh	bats tests/audit-routing.bats	openspec/changes/cross-vendor-audit-routing/V030-RESIDUAL.md
decision-lineage-and-telemetry	v029-gap	Audit and gate decisions emit lineage and honest telemetry	Missing release sigma and metrics.json rollup	bats tests/decision-events.bats tests/telemetry.bats	not_evaluated
doctrine-reality-drift	v029-gap	Load-bearing documentation claims bind to deterministic fail-capable probes	Missing docs/doctrine-claims.tsv and skills/foreman/scripts/doctrine-check.sh	test ! -e skills/foreman/scripts/doctrine-check.sh	not_evaluated
evidence-contracts	split	Write evidence is a content digest over the declared deliverable set	skills/foreman/scripts/lib/evidence.sh	bats tests/evidence.bats	openspec/changes/evidence-contracts/V030-RESIDUAL.md
foreman-discover-lane	parked	The discovery lane emits facts and determined specifications but not product code	No checkable product-code write boundary exists	test -f openspec/changes/foreman-discover-lane/PARKED.md	openspec/changes/foreman-discover-lane/PARKED.md
formal-model-suite	v029-implemented	A formal verdict comes from the checker outcome line and not a substring	formal/run-checks.sh; formal/specs/	bash formal/run-checks.sh --self-test	formal/coverage.tsv
graph-context-builder	v030-deferred	Worker graph access uses a pre-serialized context block	openspec/changes/graph-context-builder/	test -f openspec/changes/graph-context-builder/specs/consumption/spec.md	openspec/changes/graph-context-builder/
graph-dogfood	v030-deferred	Graph dogfood uses a reproducible pinned Foreman corpus	openspec/changes/graph-dogfood/	test -f openspec/changes/graph-dogfood/specs/dogfood/spec.md	openspec/changes/graph-dogfood/
graph-eval-falsification	v030-deferred	Graph kill criteria and the off-switch are preserved before measurement	openspec/changes/graph-eval-falsification/	test -f openspec/changes/graph-eval-falsification/specs/evaluation/spec.md	openspec/changes/graph-eval-falsification/
